id_transaccion,fecha,id_fruta,id_pais,toneladas,precio_usd_tonelada,valor_fob_usd
EXP-2025-0001,2025-10-16,FRU-001,PAI-001,113.82,2302.04,262018.19
EXP-2024-0002,2024-05-22,FRU-006,PAI-001,104.74,1275.3,133574.92
EXP-2024-0003,2024-03-30,FRU-005,PAI-004,14.45,3365.97,48638.27
EXP-2024-0004,2024-08-26,FRU-005,PAI-005,13.72,3426.53,47011.99
EXP-2025-0005,2025-10-27,FRU-006,PAI-005,68.73,1190.25,81805.88
EXP-2024-0006,2024-10-11,FRU-007,PAI-007,10.91,944.04,10299.48
EXP-2025-0007,2025-12-15,FRU-004,PAI-003,48.9,4963.14,242697.55
EXP-2024-0008,2024-12-10,FRU-001,PAI-001,63.19,2345.85,148234.26
EXP-2024-0009,2024-12-18,FRU-005,PAI-003,123.0,3732.33,459076.59
EXP-2025-0010,2025-07-03,FRU-001,PAI-004,21.03,2320.58,48801.8
EXP-2025-0011,2025-10-05,FRU-005,PAI-007,60.63,3422.76,207521.94
EXP-2024-0012,2024-03-12,FRU-001,PAI-006,41.91,2319.12,97194.32
EXP-2024-0013,2024-03-22,FRU-007,PAI-002,131.31,882.74,115912.59
EXP-2025-0014,2025-04-09,FRU-006,PAI-007,61.08,1175.07,71773.28
EXP-2024-0015,2024-08-02,FRU-006,PAI-003,108.25,1235.24,133714.73
EXP-2024-0016,2024-03-14,FRU-005,PAI-006,33.96,3731.98,126738.04
EXP-2024-0017,2024-06-16,FRU-004,PAI-004,47.79,5553.93,265422.31
EXP-2025-0018,2025-12-05,FRU-005,PAI-002,105.85,3797.48,401963.26
EXP-2024-0019,2024-02-27,FRU-002,PAI-007,14.49,1455.71,21093.24
EXP-2024-0020,2024-10-01,FRU-001,PAI-002,137.84,2425.8,334372.27
EXP-2024-0021,2024-11-18,FRU-002,PAI-006,79.89,1592.32,127210.44
EXP-2025-0022,2025-10-20,FRU-004,PAI-002,47.08,4989.19,234891.07
EXP-2025-0023,2025-07-28,FRU-005,PAI-003,114.58,3558.78,407765.01
EXP-2025-0024,2025-08-20,FRU-004,PAI-003,40.7,5613.95,228487.77
EXP-2025-0025,2025-06-05,FRU-004,PAI-001,115.81,5500.44,637005.96
EXP-2024-0026,2024-06-05,FRU-006,PAI-002,120.89,1185.05,143260.69
EXP-2024-0027,2024-03-06,FRU-004,PAI-004,93.42,5173.42,483300.9
EXP-2024-0028,2024-09-14,FRU-005,PAI-007,141.94,3703.84,525723.05
EXP-2024-0029,2024-04-27,FRU-006,PAI-005,115.12,1251.57,144080.74
EXP-2024-0030,2024-12-14,FRU-001,PAI-003,70.87,2382.23,168828.64
EXP-2024-0031,2024-09-26,FRU-005,PAI-007,35.01,3837.67,134356.83
EXP-2025-0032,2025-10-02,FRU-003,PAI-007,99.45,763.08,75888.31
EXP-2024-0033,2024-06-05,FRU-003,PAI-007,32.62,804.42,26240.18
EXP-2025-0034,2025-06-27,FRU-001,PAI-005,55.38,2215.48,122693.28
EXP-2025-0035,2025-01-06,FRU-007,PAI-007,53.05,836.34,44367.84
EXP-2025-0036,2025-08-03,FRU-001,PAI-001,112.47,2521.35,283576.23
EXP-2025-0037,2025-06-29,FRU-007,PAI-002,27.97,896.44,25073.43
EXP-2025-0038,2025-07-16,FRU-002,PAI-003,83.87,1525.58,127950.39
EXP-2024-0039,2024-08-04,FRU-005,PAI-007,112.19,3427.86,384571.61
EXP-2024-0040,2024-11-15,FRU-004,PAI-006,100.98,5148.5,519895.53
EXP-2025-0041,2025-06-13,FRU-004,PAI-001,44.71,4837.27,216274.34
EXP-2024-0042,2024-01-22,FRU-005,PAI-005,42.22,3438.85,145188.25
EXP-2024-0043,2024-03-13,FRU-006,PAI-006,18.24,1116.94,20372.99
EXP-2024-0044,2024-02-02,FRU-007,PAI-003,19.92,862.27,17176.42
EXP-2025-0045,2025-11-16,FRU-004,PAI-002,85.49,5385.83,460434.61
EXP-2025-0046,2025-08-07,FRU-005,PAI-004,44.02,3584.43,157786.61
EXP-2025-0047,2025-02-20,FRU-002,PAI-001,23.57,1483.45,34964.92
EXP-2025-0048,2025-03-09,FRU-004,PAI-004,130.94,4829.07,632318.43
EXP-2025-0049,2025-10-31,FRU-006,PAI-001,18.49,1243.82,22998.23
EXP-2024-0050,2024-04-21,FRU-002,PAI-002,36.63,1487.67,54493.35
EXP-2025-0051,2025-03-08,FRU-002,PAI-003,74.77,1589.88,118875.33
EXP-2024-0052,2024-03-18,FRU-004,PAI-007,130.59,5241.87,684535.8
EXP-2024-0053,2024-02-21,FRU-006,PAI-005,127.04,1290.05,163887.95
EXP-2024-0054,2024-08-30,FRU-002,PAI-004,77.99,1431.3,111627.09
EXP-2025-0055,2025-02-14,FRU-001,PAI-002,63.06,2586.36,163095.86
EXP-2024-0056,2024-09-28,FRU-007,PAI-007,73.7,888.91,65512.67
EXP-2025-0057,2025-07-23,FRU-006,PAI-006,78.13,1140.46,89104.14
EXP-2024-0058,2024-08-10,FRU-001,PAI-005,113.0,2231.41,252149.33
EXP-2024-0059,2024-11-17,FRU-001,PAI-001,91.78,2401.09,220372.04
EXP-2025-0060,2025-06-27,FRU-002,PAI-001,144.51,1399.23,202202.73
EXP-2024-0061,2024-07-09,FRU-001,PAI-005,19.51,2538.94,49534.72
EXP-2025-0062,2025-02-17,FRU-001,PAI-005,44.47,2436.3,108342.26
EXP-2025-0063,2025-09-26,FRU-001,PAI-004,102.03,2425.05,247427.85
EXP-2024-0064,2024-11-19,FRU-003,PAI-002,103.76,727.7,75506.15
EXP-2024-0065,2024-09-28,FRU-004,PAI-002,104.04,5033.6,523695.74
EXP-2024-0066,2024-11-19,FRU-007,PAI-001,11.3,917.45,10367.19
EXP-2025-0067,2025-07-30,FRU-001,PAI-001,85.27,2402.26,204840.71
EXP-2024-0068,2024-05-15,FRU-003,PAI-001,133.1,734.34,97740.65
EXP-2024-0069,2024-06-10,FRU-004,PAI-007,86.05,5035.69,433321.12
EXP-2025-0070,2025-10-31,FRU-005,PAI-001,103.5,3631.45,375855.07
EXP-2025-0071,2025-11-10,FRU-001,PAI-002,47.03,2549.65,119910.04
EXP-2025-0072,2025-07-20,FRU-002,PAI-003,49.45,1430.55,70740.7
EXP-2024-0073,2024-12-17,FRU-002,PAI-006,98.79,1443.36,142589.53
EXP-2025-0074,2025-05-15,FRU-003,PAI-007,17.11,766.11,13108.14
EXP-2024-0075,2024-10-10,FRU-001,PAI-001,56.7,2258.23,128041.64
EXP-2024-0076,2024-09-25,FRU-002,PAI-006,71.86,1549.36,111337.01
EXP-2025-0077,2025-07-28,FRU-001,PAI-001,20.53,2547.11,52292.17
EXP-2024-0078,2024-06-01,FRU-005,PAI-001,126.84,3647.53,462652.71
EXP-2024-0079,2024-05-31,FRU-004,PAI-002,15.86,5087.39,80686.01
EXP-2024-0080,2024-02-10,FRU-003,PAI-002,105.49,770.03,81230.46
EXP-2024-0081,2024-12-28,FRU-007,PAI-005,133.78,886.52,118598.65
EXP-2025-0082,2025-09-27,FRU-006,PAI-002,139.61,1149.45,160474.71
EXP-2024-0083,2024-06-15,FRU-007,PAI-007,34.79,887.37,30871.6
EXP-2024-0084,2024-07-02,FRU-006,PAI-003,119.53,1183.05,141409.97
EXP-2025-0085,2025-11-16,FRU-007,PAI-006,123.5,866.42,107002.87
EXP-2025-0086,2025-12-19,FRU-001,PAI-004,132.1,2537.7,335230.17
EXP-2024-0087,2024-08-15,FRU-002,PAI-007,138.58,1463.92,202870.03
EXP-2024-0088,2024-08-21,FRU-002,PAI-001,102.4,1475.63,151104.51
EXP-2024-0089,2024-10-12,FRU-007,PAI-001,145.36,868.19,126200.1
EXP-2025-0090,2025-10-18,FRU-005,PAI-004,105.13,3797.95,399278.48
EXP-2024-0091,2024-12-05,FRU-001,PAI-001,132.79,2308.31,306520.48
EXP-2025-0092,2025-08-17,FRU-003,PAI-001,25.18,742.15,18687.34
EXP-2024-0093,2024-11-17,FRU-004,PAI-005,147.79,4880.22,721247.71
EXP-2025-0094,2025-08-13,FRU-002,PAI-003,16.21,1484.65,24066.18
EXP-2025-0095,2025-06-16,FRU-007,PAI-005,106.16,963.4,102274.54
EXP-2025-0096,2025-11-17,FRU-002,PAI-003,70.38,1607.73,113152.04
EXP-2024-0097,2024-12-04,FRU-005,PAI-003,102.87,3383.78,348089.45
EXP-2024-0098,2024-11-03,FRU-005,PAI-003,103.37,3499.88,361782.6
EXP-2025-0099,2025-12-14,FRU-003,PAI-005,27.82,740.45,20599.32
EXP-2025-0100,2025-01-23,FRU-006,PAI-006,136.39,1222.18,166693.13
EXP-2024-0101,2024-11-04,FRU-004,PAI-005,126.72,5036.82,638265.83
EXP-2024-0102,2024-08-03,FRU-004,PAI-007,91.2,5328.72,485979.26
EXP-2025-0103,2025-04-21,FRU-004,PAI-004,104.59,5209.3,544840.69
EXP-2024-0104,2024-06-22,FRU-006,PAI-001,49.73,1231.46,61240.51
EXP-2025-0105,2025-09-26,FRU-003,PAI-001,124.58,780.14,97189.84
EXP-2025-0106,2025-11-19,FRU-003,PAI-002,122.92,707.68,86988.03
EXP-2024-0107,2024-02-17,FRU-002,PAI-004,95.58,1564.44,149529.18
EXP-2025-0108,2025-04-11,FRU-004,PAI-006,90.59,5381.66,487524.58
EXP-2025-0109,2025-01-28,FRU-004,PAI-004,44.16,5329.84,235365.73
EXP-2024-0110,2024-01-06,FRU-007,PAI-007,117.81,843.35,99355.06
EXP-2025-0111,2025-03-11,FRU-002,PAI-002,122.58,1547.02,189633.71
EXP-2025-0112,2025-04-20,FRU-001,PAI-005,44.89,2533.76,113740.49
EXP-2025-0113,2025-04-12,FRU-002,PAI-007,75.05,1507.47,113135.62
EXP-2025-0114,2025-07-26,FRU-005,PAI-003,143.01,3825.46,547079.03
EXP-2025-0115,2025-09-19,FRU-007,PAI-006,134.88,889.45,119969.02
EXP-2025-0116,2025-07-15,FRU-004,PAI-002,114.11,5178.93,590967.7
EXP-2024-0117,2024-09-22,FRU-007,PAI-002,127.58,867.93,110730.51
EXP-2025-0118,2025-06-17,FRU-004,PAI-006,43.49,5149.97,223972.2
EXP-2025-0119,2025-12-31,FRU-003,PAI-002,48.04,728.37,34990.89
EXP-2025-0120,2025-07-07,FRU-001,PAI-002,31.12,2355.09,73290.4
EXP-2024-0121,2024-06-05,FRU-006,PAI-002,18.99,1182.26,22451.12
EXP-2025-0122,2025-07-09,FRU-004,PAI-004,18.72,5476.97,102528.88
EXP-2025-0123,2025-02-02,FRU-007,PAI-005,142.45,830.81,118348.88
EXP-2025-0124,2025-08-12,FRU-004,PAI-004,10.83,5076.66,54980.23
