id_registro,fecha_registro,id_barrio,id_comercio,ventas_mensuales_usd,alquiler_promedio_m2,afluencia_peatonal,costo_operativo_usd,porcentaje_descuento_renta
REG000001,2023-01-31,BAR006,COM001,4324,9.67,2216,3002,0.0
REG000002,2023-01-31,BAR006,COM002,7866,10.03,3723,4812,0.0
REG000003,2023-01-31,BAR006,COM004,3578,9.63,1717,2847,0.0
REG000004,2023-01-31,BAR007,COM010,4197,8.27,1719,3039,0.0
REG000005,2023-01-31,BAR007,COM011,5750,8.35,2361,3448,0.0
REG000006,2023-01-31,BAR008,COM024,9749,15.35,4689,6368,0.0
REG000007,2023-01-31,BAR008,COM025,5697,15.12,3023,3907,0.0
REG000008,2023-01-31,BAR002,COM020,17841,35.64,8808,15550,0.0
REG000009,2023-01-31,BAR002,COM022,13069,34.74,5582,9766,0.0
REG000010,2023-01-31,BAR002,COM008,119218,35.76,10713,184544,0.0
REG000011,2023-01-31,BAR002,COM005,4172,34.43,2170,3887,0.0
REG000012,2023-01-31,BAR003,COM023,142151,43.92,10814,266153,0.0
REG000013,2023-01-31,BAR003,COM021,16289,44.65,7876,12491,0.0
REG000014,2023-01-31,BAR003,COM006,4065,45.4,1606,3850,0.0
REG000015,2023-01-31,BAR004,COM012,5224,17.64,2064,3689,0.0
REG000016,2023-01-31,BAR004,COM013,8465,18.06,4316,6654,0.0
REG000017,2023-01-31,BAR004,COM014,4792,17.71,2300,3545,0.0
REG000018,2023-01-31,BAR004,COM016,7539,17.69,3362,5331,0.0
REG000019,2023-01-31,BAR001,COM017,5152,12.11,2686,3673,0.0
REG000020,2023-01-31,BAR001,COM018,4380,11.83,2253,3021,0.0
REG000021,2023-01-31,BAR001,COM019,8831,12.06,4249,6280,0.0
REG000022,2023-01-31,BAR005,COM003,4383,10.3,2023,3023,0.0
REG000023,2023-01-31,BAR005,COM007,3840,9.77,1650,2707,0.0
REG000024,2023-02-28,BAR006,COM001,5145,9.57,2575,3513,0.0
REG000025,2023-02-28,BAR006,COM002,8548,10.11,4443,5499,0.0
REG000026,2023-02-28,BAR006,COM004,4460,9.94,1671,3364,0.0
