id_publicacion,fecha_publicacion,id_institucion,id_revista,ciudad_revista,costo_apc,tipo_revista,canal_publicacion,porcentaje_beca,monto_beca
PUB000001,2024-01-24,INST001,REV005,Heidelberg,3420,Journal,Directo,0.4861,1662
PUB000002,2024-01-24,INST014,REV001,Londres,3157,Journal,Consorcio,0.3724,1175
PUB000003,2024-01-28,INST039,REV009,Berlín,1448,Book Series,Consorcio,0.3665,530
PUB000004,2024-02-02,INST018,REV005,Heidelberg,2686,Journal,Consorcio,0.4764,1279
PUB000005,2024-02-13,INST012,REV003,Ámsterdam,3124,Journal,Directo,0.2343,731
PUB000006,2024-02-13,INST015,REV010,Hoboken,3014,Journal,Directo,0.3031,913
PUB000007,2024-02-20,INST004,REV006,Lausana,2646,Journal,Directo,0.5015,1326
PUB000008,2024-03-17,INST038,REV012,Oxford,1988,Book Series,Directo,0.2191,435
PUB000009,2024-03-20,INST012,REV004,Nueva York,2390,Journal,Consorcio,0.3107,742
PUB000010,2024-03-22,INST001,REV012,Oxford,1949,Book Series,Directo,0.2536,494
PUB000011,2024-03-31,INST018,REV005,Heidelberg,2802,Journal,Consorcio,0.2241,627
PUB000012,2024-04-05,INST002,REV002,Basilea,2250,Journal,Directo,0.3271,735
PUB000013,2024-04-14,INST012,REV010,Hoboken,2403,Journal,Consorcio,0.2344,563
PUB000014,2024-04-15,INST001,REV002,Basilea,1392,Journal,Repositorio,0.3917,545
PUB000015,2024-04-17,INST005,REV012,Oxford,1931,Book Series,Directo,0.4559,880
PUB000016,2024-04-19,INST031,REV010,Hoboken,1753,Journal,Repositorio,0.5746,1007
PUB000017,2024-04-25,INST011,REV009,Berlín,1431,Book Series,Consorcio,0.481,688
PUB000018,2024-04-26,INST015,REV012,Oxford,1629,Book Series,Consorcio,0.3361,547
PUB000019,2024-05-03,INST019,REV005,Heidelberg,2781,Journal,Consorcio,0.228,634
PUB000020,2024-05-03,INST023,REV008,Munich,946,Conference,Repositorio,0.0772,73
PUB000021,2024-05-03,INST022,REV007,Tokio,637,Conference,Repositorio,0.0522,33
PUB000022,2024-05-05,INST034,REV006,Lausana,2607,Journal,Directo,0.3633,947
PUB000023,2024-05-05,INST036,REV009,Berlín,1780,Book Series,Directo,0.4609,820
PUB000024,2024-05-06,INST018,REV001,Londres,2051,Journal,Repositorio,0.3811,781
PUB000025,2024-05-12,INST002,REV008,Munich,962,Conference,Repositorio,0.396,380
PUB000026,2024-05-12,INST011,REV004,Nueva York,2385,Journal,Consorcio,0.4457,1062
PUB000027,2024-05-12,INST017,REV007,Tokio,1162,Conference,Directo,0.4829,561
PUB000028,2024-05-15,INST005,REV009,Berlín,1367,Book Series,Consorcio,0.4538,620
PUB000029,2024-05-19,INST022,REV006,Lausana,2104,Journal,Consorcio,0.0649,136
PUB000030,2024-05-22,INST015,REV002,Basilea,1736,Journal,Consorcio,0.407,706
PUB000031,2024-05-27,INST016,REV012,Oxford,1645,Book Series,Consorcio,0.4923,809
PUB000032,2024-05-28,INST018,REV008,Munich,1448,Conference,Directo,0.4099,593
PUB000033,2024-05-29,INST001,REV010,Hoboken,3042,Journal,Directo,0.2485,755
PUB000034,2024-06-03,INST012,REV003,Ámsterdam,2028,Journal,Repositorio,0.2077,421
PUB000035,2024-06-05,INST005,REV006,Lausana,2122,Journal,Consorcio,0.2786,591
PUB000036,2024-06-10,INST006,REV004,Nueva York,2871,Journal,Directo,0.2985,856
PUB000037,2024-06-17,INST006,REV002,Basilea,1398,Journal,Repositorio,0.3924,548
PUB000038,2024-06-19,INST017,REV010,Hoboken,2565,Journal,Consorcio,0.4568,1171
PUB000039,2024-06-19,INST017,REV008,Munich,908,Conference,Repositorio,0.4766,432
PUB000040,2024-06-20,INST005,REV002,Basilea,1764,Journal,Consorcio,0.2132,376
